time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.020000,4,1282.384,77.433,2670.393,266.377,3490.159,590.874,3850.384,303.435,--undefined--,--undefined--
0.025000,4,1326.887,67.634,2645.506,193.511,3440.746,377.310,3886.683,390.851,--undefined--,--undefined--
0.030000,4,1319.901,89.453,2670.315,106.238,3469.894,169.545,3897.302,751.976,--undefined--,--undefined--
0.035000,4,1339.847,88.840,2651.713,100.713,3451.703,247.480,3793.203,287.810,--undefined--,--undefined--
0.040000,4,1361.007,93.256,2608.599,134.779,3452.952,261.434,3798.789,209.608,--undefined--,--undefined--
0.045000,4,1436.032,194.212,2594.296,235.206,3548.542,408.202,3837.958,330.966,--undefined--,--undefined--
0.050000,4,1351.215,78.232,2613.768,256.201,3545.057,326.316,3885.997,437.450,--undefined--,--undefined--
0.055000,4,1374.303,169.676,2572.786,223.140,3476.547,294.234,3886.703,492.045,--undefined--,--undefined--
0.060000,4,1537.699,512.497,2428.345,372.087,3276.392,731.625,3813.236,201.736,--undefined--,--undefined--
0.065000,4,1567.927,404.324,2535.223,415.130,3133.470,950.301,3789.003,103.915,--undefined--,--undefined--
0.070000,4,1529.508,289.939,2460.438,322.326,3322.377,588.687,3743.166,192.749,--undefined--,--undefined--
0.075000,4,1528.047,381.177,2223.844,274.334,3391.448,409.192,3746.376,329.147,--undefined--,--undefined--
0.080000,4,1451.288,399.030,2261.617,282.000,3204.170,635.344,3777.760,179.543,--undefined--,--undefined--
0.085000,4,1383.377,273.087,2163.841,148.450,3113.825,455.903,3810.939,111.437,--undefined--,--undefined--
0.090000,4,1446.650,502.463,2148.950,147.294,3128.517,542.481,3858.628,125.206,--undefined--,--undefined--
0.095000,4,1614.531,718.268,2134.528,125.410,3249.484,639.892,3908.272,197.369,--undefined--,--undefined--
0.100000,4,1660.096,758.300,2153.226,255.859,3107.710,574.320,3894.120,141.418,--undefined--,--undefined--
0.105000,4,1428.991,348.065,2250.534,254.356,3223.338,509.671,3898.230,187.351,--undefined--,--undefined--
0.110000,4,1369.771,206.773,2217.148,148.287,3319.879,406.430,3772.481,226.883,--undefined--,--undefined--
0.115000,4,1475.957,344.101,2193.379,162.398,3305.510,305.002,3836.543,219.323,--undefined--,--undefined--
0.120000,4,1720.536,565.816,2207.027,216.611,3315.512,420.848,3806.848,387.248,--undefined--,--undefined--
0.125000,4,1556.805,427.892,2264.396,185.698,3170.706,607.258,3740.239,371.200,--undefined--,--undefined--
0.130000,4,1461.504,325.851,2119.217,90.231,3343.255,314.331,3836.111,476.912,--undefined--,--undefined--
0.135000,4,1502.219,327.855,2087.758,133.777,3382.145,265.443,3824.542,331.373,--undefined--,--undefined--
0.140000,4,1459.064,310.312,2194.215,218.329,3433.829,436.396,3739.438,534.362,--undefined--,--undefined--
0.145000,4,1450.733,375.899,2124.003,187.601,3138.513,574.149,3747.158,244.873,--undefined--,--undefined--
0.150000,4,1561.058,511.098,2162.610,256.605,3212.563,589.345,3713.744,262.653,--undefined--,--undefined--
0.155000,4,1463.878,351.894,2299.349,304.737,3295.823,784.114,3575.696,307.167,--undefined--,--undefined--
0.160000,4,1632.564,430.365,2403.653,416.741,3475.044,177.025,3700.529,1755.919,--undefined--,--undefined--
0.165000,4,1644.180,369.835,2414.206,434.576,3249.522,1369.904,3518.711,226.759,--undefined--,--undefined--
0.170000,4,1613.602,371.887,2317.785,410.431,3033.013,872.341,3609.229,302.048,--undefined--,--undefined--
0.175000,4,1516.298,367.627,2325.543,507.056,2750.447,281.077,3840.761,255.509,--undefined--,--undefined--
0.180000,4,1417.407,271.954,2309.638,335.177,2784.542,322.688,3769.701,257.025,--undefined--,--undefined--
0.185000,4,1477.904,413.672,2232.831,205.436,3036.710,800.302,3619.733,400.687,--undefined--,--undefined--
0.190000,4,1618.693,535.710,2164.549,249.546,3094.710,900.713,3665.712,534.482,--undefined--,--undefined--
0.195000,4,1631.089,368.928,2190.964,248.091,3492.671,1280.372,3534.437,437.207,--undefined--,--undefined--
0.200000,4,1587.215,335.385,2147.406,250.771,3041.888,812.334,3656.704,328.404,--undefined--,--undefined--
